Dimension,Code,Title,ParentDimension,ParentCode,ParentTitle
ENVCAUSE,ENVCAUSE000,Total,,,
ENVCAUSE,ENVCAUSE001,"Infectious, parasitic, neonatal and nutritional",,,
ENVCAUSE,ENVCAUSE003,Tuberculosis,,,
ENVCAUSE,ENVCAUSE004,Sexually-transmitted diseases (STDs) excluding HIV,,,
ENVCAUSE,ENVCAUSE010,HIV/AIDS,,,
ENVCAUSE,ENVCAUSE011,Diarrhoeal diseases,,,
ENVCAUSE,ENVCAUSE019,Acute hepatitis B,,,
ENVCAUSE,ENVCAUSE022,Malaria,,,
ENVCAUSE,ENVCAUSE024,Chagas disease,,,
ENVCAUSE,ENVCAUSE025,Schistosomiasis,,,
ENVCAUSE,ENVCAUSE026,Leishmaniasis,,,
ENVCAUSE,ENVCAUSE027,Lymphatic filariasis,,,
ENVCAUSE,ENVCAUSE028,Onchocerciasis,,,
ENVCAUSE,ENVCAUSE030,Dengue,,,
ENVCAUSE,ENVCAUSE031,Trachoma,,,
ENVCAUSE,ENVCAUSE033,Intestinal nematode infections,,,
ENVCAUSE,ENVCAUSE037,Other infectious diseases,,,
ENVCAUSE,ENVCAUSE039,Lower respiratory infections,,,
ENVCAUSE,ENVCAUSE040,Upper respiratory infections and otitis,,,
ENVCAUSE,ENVCAUSE049,Neonatal conditions,,,
ENVCAUSE,ENVCAUSE055,Protein-energy malnutrition,,,
ENVCAUSE,ENVCAUSE060,Noncommunicable diseases,,,
ENVCAUSE,ENVCAUSE068,"Trachea, bronchus, lung cancers",,,
ENVCAUSE,ENVCAUSE078,Other cancers,,,
ENVCAUSE,ENVCAUSE083,Unipolar depressive disorders,,,
ENVCAUSE,ENVCAUSE084,Bipolar disorder,,,
ENVCAUSE,ENVCAUSE085,Schizophrenia,,,
ENVCAUSE,ENVCAUSE086,Alcohol use disorders,,,
ENVCAUSE,ENVCAUSE087,Drug use disorders,,,
ENVCAUSE,ENVCAUSE088,Anxiety disorders,,,
ENVCAUSE,ENVCAUSE089,Eating disorders,,,
ENVCAUSE,ENVCAUSE090,Pervasive developmental disorders,,,
ENVCAUSE,ENVCAUSE091,Childhood behavioural disorders,,,
ENVCAUSE,ENVCAUSE092,Idiopathic intellectual disability,,,
ENVCAUSE,ENVCAUSE095,Alzheimer's disease and other dementias,,,
ENVCAUSE,ENVCAUSE096,Parkinson's disease,,,
ENVCAUSE,ENVCAUSE097,Epilepsy,,,
ENVCAUSE,ENVCAUSE098,Multiple sclerosis,,,
ENVCAUSE,ENVCAUSE099,Migraine,,,
ENVCAUSE,ENVCAUSE100,Non-migraine headache,,,
ENVCAUSE,ENVCAUSE101,"Other mental, behavioural and neurological conditions",,,
ENVCAUSE,ENVCAUSE102,Sense organ diseases,,,
ENVCAUSE,ENVCAUSE104,Cataracts,,,
ENVCAUSE,ENVCAUSE108,Other hearing loss,,,
ENVCAUSE,ENVCAUSE110,Cardiovascular diseases,,,
ENVCAUSE,ENVCAUSE111,Rheumatic heart disease,,,
ENVCAUSE,ENVCAUSE112,Hypertensive heart disease,,,
ENVCAUSE,ENVCAUSE113,Ischaemic heart disease,,,
ENVCAUSE,ENVCAUSE114,Stroke,,,
ENVCAUSE,ENVCAUSE116,Other circulatory diseases,,,
ENVCAUSE,ENVCAUSE118,Chronic obstructive pulmonary disease,,,
ENVCAUSE,ENVCAUSE119,Asthma,,,
ENVCAUSE,ENVCAUSE127,Kidney diseases,,,
ENVCAUSE,ENVCAUSE135,Rheumatoid arthritis,,,
ENVCAUSE,ENVCAUSE136,Osteoarthritis,,,
ENVCAUSE,ENVCAUSE138,Back and neck pain,,,
ENVCAUSE,ENVCAUSE139,Other musculoskeletal disorders,,,
ENVCAUSE,ENVCAUSE140,Congenital anomalies,,,
ENVCAUSE,ENVCAUSE151,Injuries,,,
ENVCAUSE,ENVCAUSE153,Road injury,,,
ENVCAUSE,ENVCAUSE154,Poisonings,,,
ENVCAUSE,ENVCAUSE155,Falls,,,
ENVCAUSE,ENVCAUSE156,"Fire, heat and hot substances",,,
ENVCAUSE,ENVCAUSE157,Drowning,,,
ENVCAUSE,ENVCAUSE159,Other unintentional injuries,,,
ENVCAUSE,ENVCAUSE161,Self-harm,,,
ENVCAUSE,ENVCAUSE162,Interpersonal violence,,,
