Dimension,Code,Title,ParentDimension,ParentCode,ParentTitle
GHO,AIR_41,Ambient air pollution attributable deaths,,,
GHO,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",,,
GHO,AIR_45,Ambient air pollution attributable YLLs,,,
GHO,AIR_5,Ambient air pollution attributable death rate (per 100 000 population),,,
GHO,AIR_7,Ambient air pollution attributable DALYs,,,
GHO,AIR_8,Ambient air pollution attributable DALYs  in children under 5 years,,,
GHO,AIR_9,Ambient air pollution attributable DALYs  (per 100 000 population),,,
GHO,AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",,,
GHO,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),,,
GHO,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",,,
GHO,SDGPM25,Concentrations of fine particulate matter (PM2.5),,,
GHO,SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),,,
GHO,SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),,,
