Dimension,Code,Title,ParentDimension,ParentCode,ParentTitle
UNREGION,1,World,,,
UNREGION,11,Western Africa,,,
UNREGION,13,Central America,,,
UNREGION,135,Caucasus and Central Asia (MDG),,,
UNREGION,14,Eastern Africa,,,
UNREGION,142,Asia,,,
UNREGION,143,Central Asia,,,
UNREGION,145,Western Asia,,,
UNREGION,15,Northern Africa,,,
UNREGION,150,Europe,,,
UNREGION,151,Eastern Europe,,,
UNREGION,154,Northern Europe,,,
UNREGION,155,Western Europe,,,
UNREGION,17,Middle Africa,,,
UNREGION,18,Southern Africa,,,
UNREGION,19,Americas,,,
UNREGION,197,Less Developed Regions,,,
UNREGION,199,Least Developed Countries (LDCs),,,
UNREGION,2,Africa,,,
UNREGION,202,Sub-Saharan Africa,,,
UNREGION,21,Northern America,,,
UNREGION,29,Caribbean,,,
UNREGION,30,Eastern Asia,,,
UNREGION,34,Southern Asia,,,
UNREGION,35,South-Eastern Asia,,,
UNREGION,39,Southern Europe,,,
UNREGION,419,Latin America and the Caribbean,,,
UNREGION,432,Landlocked developing countries (LLDCs),,,
UNREGION,485,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,,
UNREGION,5,South America,,,
UNREGION,513,Northern America and Europe,,,
UNREGION,514,Developed regions (MDG),,,
UNREGION,515,Developing regions (MDG),,,
UNREGION,518,Eastern Asia (MDG),,,
UNREGION,53,Australia and New Zealand,,,
UNREGION,54,Melanesia,,,
UNREGION,543,Oceania (exc. Australia and New Zealand),,,
UNREGION,57,Micronesia,,,
UNREGION,61,Polynesia,,,
UNREGION,62,Central Asia and Southern Asia,,,
UNREGION,64,South-Central Asia,,,
UNREGION,722,Small island developing States (SIDS),,,
UNREGION,738,Sub-Saharan Africa (inc. Sudan),,,
UNREGION,746,Northern Africa (exc. Sudan),,,
UNREGION,747,Northern Africa and Western Asia,,,
UNREGION,753,Eastern Asia and South-eastern Asia,,,
UNREGION,9,Oceania,,,
UNREGION,UN_Africa,Africa,,,
UNREGION,UN_Asia,Asia,,,
UNREGION,UN_Europe,Europe,,,
UNREGION,UN_Latin America_Caribbean,Latin America and Caribbean,,,
UNREGION,UN_Northern_America,Northern America,,,
UNREGION,UN_Oceania,Oceania,,,
