Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
19758439,SDGAIRBOD,REGION,EUR,YEAR,2016,,,,,,,,,60.8,60.8,,,,2018-08-28T07:54:22Z,2016,2016-01-01,2016-12-31
19758441,SDGAIRBOD,REGION,GLOBAL,YEAR,2016,,,,,,,,,94.8,94.8,,,,2018-08-28T07:54:22Z,2016,2016-01-01,2016-12-31
19758443,SDGAIRBOD,REGION,AMR,YEAR,2016,,,,,,,,,32.2,32.2,,,,2018-08-28T07:54:23Z,2016,2016-01-01,2016-12-31
19758445,SDGAIRBOD,REGION,WPR,YEAR,2016,,,,,,,,,118.9,118.9,,,,2018-08-28T07:54:23Z,2016,2016-01-01,2016-12-31
19758448,SDGAIRBOD,REGION,AFR,YEAR,2016,,,,,,,,,96.7,96.7,,,,2018-08-28T07:54:23Z,2016,2016-01-01,2016-12-31
19758449,SDGAIRBOD,REGION,SEAR,YEAR,2016,,,,,,,,,125.1,125.1,,,,2018-08-28T07:54:23Z,2016,2016-01-01,2016-12-31
19758450,SDGAIRBOD,REGION,EMR,YEAR,2016,,,,,,,,,75.2,75.2,,,,2018-08-28T07:54:23Z,2016,2016-01-01,2016-12-31
19758453,SDGAIRBOD,COUNTRY,AFG,YEAR,2016,SEX,BTSX,,,,,,,95[ 85-104],95.1151,85.12387,104.2578,,2018-08-28T08:32:55Z,2016,2016-01-01,2016-12-31
19758454,SDGAIRBOD,COUNTRY,AFG,YEAR,2016,SEX,FMLE,,,,,,,95[ 85-104],94.63072,84.55152,103.89352,,2018-08-28T08:32:55Z,2016,2016-01-01,2016-12-31
19758455,SDGAIRBOD,COUNTRY,AFG,YEAR,2016,SEX,MLE,,,,,,,96[ 85-106],95.58067,85.49678,105.98011,,2018-08-28T08:32:55Z,2016,2016-01-01,2016-12-31
19758456,SDGAIRBOD,COUNTRY,AGO,YEAR,2016,SEX,BTSX,,,,,,,67[ 58-76],67.25207,57.82645,76.42841,,2018-08-28T08:32:55Z,2016,2016-01-01,2016-12-31
19758457,SDGAIRBOD,COUNTRY,AGO,YEAR,2016,SEX,FMLE,,,,,,,69[ 60-79],69.43121,60.00352,78.71766,,2018-08-28T08:32:55Z,2016,2016-01-01,2016-12-31
19758458,SDGAIRBOD,COUNTRY,AGO,YEAR,2016,SEX,MLE,,,,,,,65[ 55-74],64.99023,55.29673,74.19511,,2018-08-28T08:32:55Z,2016,2016-01-01,2016-12-31
19758459,SDGAIRBOD,COUNTRY,ALB,YEAR,2016,SEX,BTSX,,,,,,,105[ 70-147],104.74041,70.26089,147.28015,,2018-08-28T08:32:55Z,2016,2016-01-01,2016-12-31
