Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
19758440,SDGAIRBODA,REGION,EUR,YEAR,2016,,,,,,,,,36.3,36.3,,,,2018-08-28T07:54:22Z,2016,2016-01-01,2016-12-31
19758442,SDGAIRBODA,REGION,AFR,YEAR,2016,,,,,,,,,180.9,180.9,,,,2018-08-28T07:54:23Z,2016,2016-01-01,2016-12-31
19758444,SDGAIRBODA,REGION,WPR,YEAR,2016,,,,,,,,,102.8,102.8,,,,2018-08-28T07:54:23Z,2016,2016-01-01,2016-12-31
19758446,SDGAIRBODA,REGION,AMR,YEAR,2016,,,,,,,,,29.7,29.7,,,,2018-08-28T07:54:23Z,2016,2016-01-01,2016-12-31
19758447,SDGAIRBODA,REGION,GLOBAL,YEAR,2016,,,,,,,,,114.1,114.1,,,,2018-08-28T07:54:23Z,2016,2016-01-01,2016-12-31
19758451,SDGAIRBODA,REGION,SEAR,YEAR,2016,,,,,,,,,165.8,165.8,,,,2018-08-28T07:54:23Z,2016,2016-01-01,2016-12-31
19758452,SDGAIRBODA,REGION,EMR,YEAR,2016,,,,,,,,,125.0,125,,,,2018-08-28T07:54:23Z,2016,2016-01-01,2016-12-31
19759002,SDGAIRBODA,COUNTRY,AFG,YEAR,2016,SEX,BTSX,,,,,,,211[ 189-231],211.0515,188.88191,231.33827,,2018-08-28T08:33:09Z,2016,2016-01-01,2016-12-31
19759003,SDGAIRBODA,COUNTRY,AFG,YEAR,2016,SEX,FMLE,,,,,,,195[ 174-214],194.66391,173.93007,213.71831,,2018-08-28T08:33:09Z,2016,2016-01-01,2016-12-31
19759004,SDGAIRBODA,COUNTRY,AFG,YEAR,2016,SEX,MLE,,,,,,,229[ 205-254],228.70453,204.5759,253.58823,,2018-08-28T08:33:09Z,2016,2016-01-01,2016-12-31
19759005,SDGAIRBODA,COUNTRY,AGO,YEAR,2016,SEX,BTSX,,,,,,,119[ 102-135],118.54955,101.9344,134.72527,,2018-08-28T08:33:09Z,2016,2016-01-01,2016-12-31
19759006,SDGAIRBODA,COUNTRY,AGO,YEAR,2016,SEX,FMLE,,,,,,,117[ 101-132],116.85695,100.98959,132.48662,,2018-08-28T08:33:09Z,2016,2016-01-01,2016-12-31
