Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
25760500,SDGPM25,COUNTRY,AFG,YEAR,2016,RESIDENCEAREATYPE,TOTL,,,,,,,55.14 [31.15-93.7],55.14,31.15,93.7,,2021-05-07T09:10:56Z,2016,2016-01-01,2016-12-31
25760501,SDGPM25,COUNTRY,AFG,YEAR,2015,RESIDENCEAREATYPE,TOTL,,,,,,,54.89 [30.79-95.13],54.89,30.79,95.13,,2021-05-07T09:10:56Z,2015,2015-01-01,2015-12-31
25760502,SDGPM25,COUNTRY,AFG,YEAR,2014,RESIDENCEAREATYPE,TOTL,,,,,,,59.05 [33.24-104.17],59.05,33.24,104.17,,2021-05-07T09:10:56Z,2014,2014-01-01,2014-12-31
25760503,SDGPM25,COUNTRY,AFG,YEAR,2013,RESIDENCEAREATYPE,TOTL,,,,,,,54.89 [31.02-94.82],54.89,31.02,94.82,,2021-05-07T09:10:56Z,2013,2013-01-01,2013-12-31
25760504,SDGPM25,COUNTRY,AFG,YEAR,2012,RESIDENCEAREATYPE,TOTL,,,,,,,54.67 [31.24-95.66],54.67,31.24,95.66,,2021-05-07T09:10:57Z,2012,2012-01-01,2012-12-31
25760505,SDGPM25,COUNTRY,AFG,YEAR,2011,RESIDENCEAREATYPE,TOTL,,,,,,,50.3 [27.85-87.02],50.3,27.85,87.02,,2021-05-07T09:10:57Z,2011,2011-01-01,2011-12-31
25760506,SDGPM25,COUNTRY,AFG,YEAR,2010,RESIDENCEAREATYPE,TOTL,,,,,,,49.8 [29.31-86.77],49.8,29.31,86.77,,2021-05-07T09:10:57Z,2010,2010-01-01,2010-12-31
25760507,SDGPM25,COUNTRY,AFG,YEAR,2016,RESIDENCEAREATYPE,RUR,,,,,,,52.84 [29.23-94.73],52.84,29.23,94.73,,2021-05-07T09:10:57Z,2016,2016-01-01,2016-12-31
25760508,SDGPM25,COUNTRY,AFG,YEAR,2015,RESIDENCEAREATYPE,RUR,,,,,,,52.58 [29.44-94.6],52.58,29.44,94.6,,2021-05-07T09:10:57Z,2015,2015-01-01,2015-12-31
25760509,SDGPM25,COUNTRY,AFG,YEAR,2014,RESIDENCEAREATYPE,RUR,,,,,,,56.65 [31.74-99.81],56.65,31.74,99.81,,2021-05-07T09:10:57Z,2014,2014-01-01,2014-12-31
25760510,SDGPM25,COUNTRY,AFG,YEAR,2013,RESIDENCEAREATYPE,RUR,,,,,,,52.66 [30.29-92.31],52.66,30.29,92.31,,2021-05-07T09:10:57Z,2013,2013-01-01,2013-12-31
25760511,SDGPM25,COUNTRY,AFG,YEAR,2012,RESIDENCEAREATYPE,RUR,,,,,,,52.37 [29.73-93.18],52.37,29.73,93.18,,2021-05-07T09:10:57Z,2012,2012-01-01,2012-12-31
25760512,SDGPM25,COUNTRY,AFG,YEAR,2011,RESIDENCEAREATYPE,RUR,,,,,,,48.3 [27.24-87.64],48.3,27.24,87.64,,2021-05-07T09:10:57Z,2011,2011-01-01,2011-12-31
25760513,SDGPM25,COUNTRY,AFG,YEAR,2010,RESIDENCEAREATYPE,RUR,,,,,,,47.75 [28.52-86.94],47.75,28.52,86.94,,2021-05-07T09:10:57Z,2010,2010-01-01,2010-12-31
25760514,SDGPM25,COUNTRY,AFG,YEAR,2016,RESIDENCEAREATYPE,URB,,,,,,,63.61 [33.83-115.97],63.61,33.83,115.97,,2021-05-07T09:10:57Z,2016,2016-01-01,2016-12-31
25760515,SDGPM25,COUNTRY,AFG,YEAR,2015,RESIDENCEAREATYPE,URB,,,,,,,63.43 [33.56-114.58],63.43,33.56,114.58,,2021-05-07T09:10:57Z,2015,2015-01-01,2015-12-31
25760516,SDGPM25,COUNTRY,AFG,YEAR,2014,RESIDENCEAREATYPE,URB,,,,,,,68.17 [36.93-124.36],68.17,36.93,124.36,,2021-05-07T09:10:57Z,2014,2014-01-01,2014-12-31
25760517,SDGPM25,COUNTRY,AFG,YEAR,2013,RESIDENCEAREATYPE,URB,,,,,,,62.99 [34.37-113.58],62.99,34.37,113.58,,2021-05-07T09:10:57Z,2013,2013-01-01,2013-12-31
25760518,SDGPM25,COUNTRY,AFG,YEAR,2012,RESIDENCEAREATYPE,URB,,,,,,,63.35 [33.12-114.87],63.35,33.12,114.87,,2021-05-07T09:10:57Z,2012,2012-01-01,2012-12-31
25760519,SDGPM25,COUNTRY,AFG,YEAR,2011,RESIDENCEAREATYPE,URB,,,,,,,58.08 [30.85-109.37],58.08,30.85,109.37,,2021-05-07T09:10:57Z,2011,2011-01-01,2011-12-31
25760520,SDGPM25,COUNTRY,AFG,YEAR,2010,RESIDENCEAREATYPE,URB,,,,,,,57.34 [31.14-104.82],57.34,31.14,104.82,,2021-05-07T09:10:57Z,2010,2010-01-01,2010-12-31
25760521,SDGPM25,COUNTRY,ALB,YEAR,2016,RESIDENCEAREATYPE,TOTL,,,,,,,18.07 [16.61-21.04],18.07,16.61,21.04,,2021-05-07T09:10:57Z,2016,2016-01-01,2016-12-31
25760522,SDGPM25,COUNTRY,ALB,YEAR,2015,RESIDENCEAREATYPE,TOTL,,,,,,,19.06 [17.67-22.1],19.06,17.67,22.1,,2021-05-07T09:10:57Z,2015,2015-01-01,2015-12-31
25760523,SDGPM25,COUNTRY,ALB,YEAR,2014,RESIDENCEAREATYPE,TOTL,,,,,,,19.8 [18.36-23.19],19.8,18.36,23.19,,2021-05-07T09:10:57Z,2014,2014-01-01,2014-12-31
25760524,SDGPM25,COUNTRY,ALB,YEAR,2013,RESIDENCEAREATYPE,TOTL,,,,,,,19.91 [18.41-23.27],19.91,18.41,23.27,,2021-05-07T09:10:57Z,2013,2013-01-01,2013-12-31
25760525,SDGPM25,COUNTRY,ALB,YEAR,2012,RESIDENCEAREATYPE,TOTL,,,,,,,20.82 [19.19-24.27],20.82,19.19,24.27,,2021-05-07T09:10:57Z,2012,2012-01-01,2012-12-31
25760526,SDGPM25,COUNTRY,ALB,YEAR,2011,RESIDENCEAREATYPE,TOTL,,,,,,,22.77 [21.05-26.52],22.77,21.05,26.52,,2021-05-07T09:10:57Z,2011,2011-01-01,2011-12-31
25760527,SDGPM25,COUNTRY,ALB,YEAR,2010,RESIDENCEAREATYPE,TOTL,,,,,,,20.09 [18.61-23.59],20.09,18.61,23.59,,2021-05-07T09:10:57Z,2010,2010-01-01,2010-12-31
25760528,SDGPM25,COUNTRY,ALB,YEAR,2016,RESIDENCEAREATYPE,RUR,,,,,,,17.2 [15.8-20.71],17.2,15.8,20.71,,2021-05-07T09:10:57Z,2016,2016-01-01,2016-12-31
25760529,SDGPM25,COUNTRY,ALB,YEAR,2015,RESIDENCEAREATYPE,RUR,,,,,,,18.17 [16.65-21.89],18.17,16.65,21.89,,2021-05-07T09:10:57Z,2015,2015-01-01,2015-12-31
25760530,SDGPM25,COUNTRY,ALB,YEAR,2014,RESIDENCEAREATYPE,RUR,,,,,,,18.93 [17.43-22.85],18.93,17.43,22.85,,2021-05-07T09:10:57Z,2014,2014-01-01,2014-12-31
25760531,SDGPM25,COUNTRY,ALB,YEAR,2013,RESIDENCEAREATYPE,RUR,,,,,,,19.08 [17.47-23.04],19.08,17.47,23.04,,2021-05-07T09:10:57Z,2013,2013-01-01,2013-12-31
25760532,SDGPM25,COUNTRY,ALB,YEAR,2012,RESIDENCEAREATYPE,RUR,,,,,,,19.9 [18.27-24.1],19.9,18.27,24.1,,2021-05-07T09:10:57Z,2012,2012-01-01,2012-12-31
25760533,SDGPM25,COUNTRY,ALB,YEAR,2011,RESIDENCEAREATYPE,RUR,,,,,,,21.8 [19.96-26.22],21.8,19.96,26.22,,2021-05-07T09:10:57Z,2011,2011-01-01,2011-12-31
25760534,SDGPM25,COUNTRY,ALB,YEAR,2010,RESIDENCEAREATYPE,RUR,,,,,,,19.38 [17.75-23.78],19.38,17.75,23.78,,2021-05-07T09:10:57Z,2010,2010-01-01,2010-12-31
25760535,SDGPM25,COUNTRY,ALB,YEAR,2016,RESIDENCEAREATYPE,URB,,,,,,,19.32 [17.36-21.49],19.32,17.36,21.49,,2021-05-07T09:10:58Z,2016,2016-01-01,2016-12-31
25760536,SDGPM25,COUNTRY,ALB,YEAR,2015,RESIDENCEAREATYPE,URB,,,,,,,20.49 [18.41-22.62],20.49,18.41,22.62,,2021-05-07T09:10:58Z,2015,2015-01-01,2015-12-31
25760537,SDGPM25,COUNTRY,ALB,YEAR,2014,RESIDENCEAREATYPE,URB,,,,,,,21.23 [19.11-23.49],21.23,19.11,23.49,,2021-05-07T09:10:58Z,2014,2014-01-01,2014-12-31
25760538,SDGPM25,COUNTRY,ALB,YEAR,2013,RESIDENCEAREATYPE,URB,,,,,,,21.35 [19.21-23.67],21.35,19.21,23.67,,2021-05-07T09:10:58Z,2013,2013-01-01,2013-12-31
25760539,SDGPM25,COUNTRY,ALB,YEAR,2012,RESIDENCEAREATYPE,URB,,,,,,,22.36 [20.06-24.62],22.36,20.06,24.62,,2021-05-07T09:10:58Z,2012,2012-01-01,2012-12-31
25760540,SDGPM25,COUNTRY,ALB,YEAR,2011,RESIDENCEAREATYPE,URB,,,,,,,24.46 [22.06-26.98],24.46,22.06,26.98,,2021-05-07T09:10:58Z,2011,2011-01-01,2011-12-31
25760541,SDGPM25,COUNTRY,ALB,YEAR,2010,RESIDENCEAREATYPE,URB,,,,,,,21.59 [19.36-23.89],21.59,19.36,23.89,,2021-05-07T09:10:58Z,2010,2010-01-01,2010-12-31
25760542,SDGPM25,COUNTRY,DZA,YEAR,2016,RESIDENCEAREATYPE,TOTL,,,,,,,35.18 [23.11-60.4],35.18,23.11,60.4,,2021-05-07T09:10:58Z,2016,2016-01-01,2016-12-31
25760543,SDGPM25,COUNTRY,DZA,YEAR,2015,RESIDENCEAREATYPE,TOTL,,,,,,,34.37 [22.6-58.42],34.37,22.6,58.42,,2021-05-07T09:10:58Z,2015,2015-01-01,2015-12-31
25760544,SDGPM25,COUNTRY,DZA,YEAR,2014,RESIDENCEAREATYPE,TOTL,,,,,,,33.78 [22.44-56.22],33.78,22.44,56.22,,2021-05-07T09:10:58Z,2014,2014-01-01,2014-12-31
25760545,SDGPM25,COUNTRY,DZA,YEAR,2013,RESIDENCEAREATYPE,TOTL,,,,,,,31.09 [21.19-52.04],31.09,21.19,52.04,,2021-05-07T09:10:58Z,2013,2013-01-01,2013-12-31
25760546,SDGPM25,COUNTRY,DZA,YEAR,2012,RESIDENCEAREATYPE,TOTL,,,,,,,30.21 [20.44-49.67],30.21,20.44,49.67,,2021-05-07T09:10:58Z,2012,2012-01-01,2012-12-31
25760547,SDGPM25,COUNTRY,DZA,YEAR,2011,RESIDENCEAREATYPE,TOTL,,,,,,,29.67 [20.33-48.54],29.67,20.33,48.54,,2021-05-07T09:10:58Z,2011,2011-01-01,2011-12-31
25760548,SDGPM25,COUNTRY,DZA,YEAR,2010,RESIDENCEAREATYPE,TOTL,,,,,,,30.01 [20.71-49.26],30.01,20.71,49.26,,2021-05-07T09:10:58Z,2010,2010-01-01,2010-12-31
