Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
25257958,SDGPOISON,COUNTRY,AFG,YEAR,2011,SEX,MLE,,,,,,,0.5 [0.2-1.1],0.53958,0.21708,1.1433,,2021-02-09T16:20:14Z,2011,2011-01-01,2011-12-31
25257959,SDGPOISON,COUNTRY,AFG,YEAR,2004,SEX,BTSX,,,,,,,2.4 [1.0-5.1],2.43996,0.95454,5.08542,,2021-02-09T16:20:14Z,2004,2004-01-01,2004-12-31
25257960,SDGPOISON,COUNTRY,AFG,YEAR,2010,SEX,MLE,,,,,,,0.6 [0.2-1.2],0.58775,0.23687,1.24174,,2021-02-09T16:20:14Z,2010,2010-01-01,2010-12-31
25257961,SDGPOISON,COUNTRY,AFG,YEAR,2005,SEX,FMLE,,,,,,,3.8 [1.6-7.8],3.81916,1.55065,7.84038,,2021-02-09T16:20:14Z,2005,2005-01-01,2005-12-31
25257962,SDGPOISON,COUNTRY,AFG,YEAR,2003,SEX,MLE,,,,,,,0.9 [0.3-1.9],0.9002,0.34152,1.91334,,2021-02-09T16:20:14Z,2003,2003-01-01,2003-12-31
25257963,SDGPOISON,COUNTRY,AFG,YEAR,2013,SEX,BTSX,,,,,,,1.5 [0.6-3.0],1.45651,0.59085,2.97011,,2021-02-09T16:20:14Z,2013,2013-01-01,2013-12-31
25257964,SDGPOISON,COUNTRY,AFG,YEAR,2005,SEX,BTSX,,,,,,,2.3 [0.9-4.7],2.26021,0.9087,4.65819,,2021-02-09T16:20:14Z,2005,2005-01-01,2005-12-31
25257965,SDGPOISON,COUNTRY,AFG,YEAR,2009,SEX,MLE,,,,,,,0.6 [0.2-1.3],0.6175,0.24895,1.30127,,2021-02-09T16:20:14Z,2009,2009-01-01,2009-12-31
25257966,SDGPOISON,COUNTRY,AFG,YEAR,2008,SEX,MLE,,,,,,,0.7 [0.3-1.4],0.6514,0.26049,1.3622,,2021-02-09T16:20:14Z,2008,2008-01-01,2008-12-31
25257967,SDGPOISON,COUNTRY,AFG,YEAR,2018,SEX,FMLE,,,,,,,1.6 [0.7-3.2],1.63855,0.7026,3.19248,,2021-02-09T16:20:14Z,2018,2018-01-01,2018-12-31
