Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20673736,SDGWSHBOD,COUNTRY,AFG,YEAR,2016,SEX,MLE,,,,,,,12.6,12.61297,,,,2019-02-07T13:49:11Z,2016,2016-01-01,2016-12-31
20673737,SDGWSHBOD,COUNTRY,AGO,YEAR,2016,SEX,MLE,,,,,,,52.6,52.62506,,,,2019-02-07T13:49:11Z,2016,2016-01-01,2016-12-31
20673738,SDGWSHBOD,COUNTRY,ALB,YEAR,2016,SEX,MLE,,,,,,,0.2,0.2065,,,,2019-02-07T13:49:11Z,2016,2016-01-01,2016-12-31
20673739,SDGWSHBOD,COUNTRY,ARE,YEAR,2016,SEX,MLE,,,,,,,<0.1,0.0245,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673740,SDGWSHBOD,COUNTRY,ARG,YEAR,2016,SEX,MLE,,,,,,,0.3,0.32166,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673741,SDGWSHBOD,COUNTRY,ARM,YEAR,2016,SEX,MLE,,,,,,,0.2,0.19032,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673742,SDGWSHBOD,COUNTRY,ATG,YEAR,2016,SEX,MLE,,,,,,,0.1,0.12469,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673743,SDGWSHBOD,COUNTRY,AUS,YEAR,2016,SEX,MLE,,,,,,,0.1,0.07103,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673744,SDGWSHBOD,COUNTRY,AUT,YEAR,2016,SEX,MLE,,,,,,,0.1,0.09539,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673745,SDGWSHBOD,COUNTRY,AZE,YEAR,2016,SEX,MLE,,,,,,,1.3,1.28588,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673746,SDGWSHBOD,COUNTRY,BDI,YEAR,2016,SEX,MLE,,,,,,,64.0,63.98737,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673747,SDGWSHBOD,COUNTRY,BEL,YEAR,2016,SEX,MLE,,,,,,,0.2,0.20645,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673748,SDGWSHBOD,COUNTRY,BEN,YEAR,2016,SEX,MLE,,,,,,,65.1,65.12923,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673749,SDGWSHBOD,COUNTRY,BFA,YEAR,2016,SEX,MLE,,,,,,,45.5,45.51959,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673750,SDGWSHBOD,COUNTRY,BGD,YEAR,2016,SEX,MLE,,,,,,,10.1,10.0935,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673751,SDGWSHBOD,COUNTRY,BGR,YEAR,2016,SEX,MLE,,,,,,,0.1,0.12216,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673752,SDGWSHBOD,COUNTRY,BHR,YEAR,2016,SEX,MLE,,,,,,,<0.1,0.0344,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673753,SDGWSHBOD,COUNTRY,BHS,YEAR,2016,SEX,MLE,,,,,,,0.1,0.07032,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673754,SDGWSHBOD,COUNTRY,BIH,YEAR,2016,SEX,MLE,,,,,,,0.1,0.07647,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673755,SDGWSHBOD,COUNTRY,BLR,YEAR,2016,SEX,MLE,,,,,,,0.1,0.05022,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673756,SDGWSHBOD,COUNTRY,BLZ,YEAR,2016,SEX,MLE,,,,,,,1.0,1.04043,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673757,SDGWSHBOD,COUNTRY,BOL,YEAR,2016,SEX,MLE,,,,,,,6.2,6.22563,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673758,SDGWSHBOD,COUNTRY,BRA,YEAR,2016,SEX,MLE,,,,,,,1.0,0.97233,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673759,SDGWSHBOD,COUNTRY,BRB,YEAR,2016,SEX,MLE,,,,,,,0.1,0.09322,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673760,SDGWSHBOD,COUNTRY,BRN,YEAR,2016,SEX,MLE,,,,,,,<0.1,0.04623,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673761,SDGWSHBOD,COUNTRY,BTN,YEAR,2016,SEX,MLE,,,,,,,3.4,3.40449,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673762,SDGWSHBOD,COUNTRY,BWA,YEAR,2016,SEX,MLE,,,,,,,11.2,11.19871,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673763,SDGWSHBOD,COUNTRY,CAF,YEAR,2016,SEX,MLE,,,,,,,89.7,89.68932,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673764,SDGWSHBOD,COUNTRY,CAN,YEAR,2016,SEX,MLE,,,,,,,0.3,0.28836,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673765,SDGWSHBOD,COUNTRY,CHE,YEAR,2016,SEX,MLE,,,,,,,0.1,0.10629,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673766,SDGWSHBOD,COUNTRY,CHL,YEAR,2016,SEX,MLE,,,,,,,0.2,0.17412,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673767,SDGWSHBOD,COUNTRY,CHN,YEAR,2016,SEX,MLE,,,,,,,0.5,0.49931,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673768,SDGWSHBOD,COUNTRY,CIV,YEAR,2016,SEX,MLE,,,,,,,49.5,49.50985,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673769,SDGWSHBOD,COUNTRY,CMR,YEAR,2016,SEX,MLE,,,,,,,46.2,46.16591,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673770,SDGWSHBOD,COUNTRY,COD,YEAR,2016,SEX,MLE,,,,,,,69.8,69.76294,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673771,SDGWSHBOD,COUNTRY,COG,YEAR,2016,SEX,MLE,,,,,,,43.5,43.5214,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673772,SDGWSHBOD,COUNTRY,COL,YEAR,2016,SEX,MLE,,,,,,,0.7,0.73144,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673773,SDGWSHBOD,COUNTRY,COM,YEAR,2016,SEX,MLE,,,,,,,51.1,51.12782,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673774,SDGWSHBOD,COUNTRY,CPV,YEAR,2016,SEX,MLE,,,,,,,4.3,4.31882,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673775,SDGWSHBOD,COUNTRY,CRI,YEAR,2016,SEX,MLE,,,,,,,0.7,0.70192,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673776,SDGWSHBOD,COUNTRY,CUB,YEAR,2016,SEX,MLE,,,,,,,1.0,1.00429,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673777,SDGWSHBOD,COUNTRY,CYP,YEAR,2016,SEX,MLE,,,,,,,0.3,0.28913,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673778,SDGWSHBOD,COUNTRY,CZE,YEAR,2016,SEX,MLE,,,,,,,0.1,0.14554,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673779,SDGWSHBOD,COUNTRY,DEU,YEAR,2016,SEX,MLE,,,,,,,0.5,0.4533,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673780,SDGWSHBOD,COUNTRY,DJI,YEAR,2016,SEX,MLE,,,,,,,29.4,29.36276,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673781,SDGWSHBOD,COUNTRY,DNK,YEAR,2016,SEX,MLE,,,,,,,0.2,0.19373,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673782,SDGWSHBOD,COUNTRY,DOM,YEAR,2016,SEX,MLE,,,,,,,2.2,2.22008,,,,2019-02-07T13:49:12Z,2016,2016-01-01,2016-12-31
20673783,SDGWSHBOD,COUNTRY,DZA,YEAR,2016,SEX,MLE,,,,,,,1.7,1.72837,,,,2019-02-07T13:49:13Z,2016,2016-01-01,2016-12-31
20673784,SDGWSHBOD,COUNTRY,ECU,YEAR,2016,SEX,MLE,,,,,,,0.6,0.62773,,,,2019-02-07T13:49:13Z,2016,2016-01-01,2016-12-31
20673785,SDGWSHBOD,COUNTRY,EGY,YEAR,2016,SEX,MLE,,,,,,,1.8,1.82045,,,,2019-02-07T13:49:13Z,2016,2016-01-01,2016-12-31
20673786,SDGWSHBOD,COUNTRY,ERI,YEAR,2016,SEX,MLE,,,,,,,47.6,47.60817,,,,2019-02-07T13:49:13Z,2016,2016-01-01,2016-12-31
20673787,SDGWSHBOD,COUNTRY,ESP,YEAR,2016,SEX,MLE,,,,,,,0.1,0.11416,,,,2019-02-07T13:49:13Z,2016,2016-01-01,2016-12-31
20673788,SDGWSHBOD,COUNTRY,EST,YEAR,2016,SEX,MLE,,,,,,,<0.1,0.00889,,,,2019-02-07T13:49:13Z,2016,2016-01-01,2016-12-31
20673789,SDGWSHBOD,COUNTRY,ETH,YEAR,2016,SEX,MLE,,,,,,,46.5,46.52964,,,,2019-02-07T13:49:13Z,2016,2016-01-01,2016-12-31
20673790,SDGWSHBOD,COUNTRY,FIN,YEAR,2016,SEX,MLE,,,,,,,<0.1,0.033890000000000003,,,,2019-02-07T13:49:13Z,2016,2016-01-01,2016-12-31
20673791,SDGWSHBOD,COUNTRY,FJI,YEAR,2016,SEX,MLE,,,,,,,3.5,3.52102,,,,2019-02-07T13:49:13Z,2016,2016-01-01,2016-12-31
20673792,SDGWSHBOD,COUNTRY,FRA,YEAR,2016,SEX,MLE,,,,,,,0.2,0.2043,,,,2019-02-07T13:49:13Z,2016,2016-01-01,2016-12-31
20673793,SDGWSHBOD,COUNTRY,FSM,YEAR,2016,SEX,MLE,,,,,,,3.4,3.41712,,,,2019-02-07T13:49:13Z,2016,2016-01-01,2016-12-31
20673794,SDGWSHBOD,COUNTRY,GAB,YEAR,2016,SEX,MLE,,,,,,,22.5,22.45827,,,,2019-02-07T13:49:13Z,2016,2016-01-01,2016-12-31
20673795,SDGWSHBOD,COUNTRY,GBR,YEAR,2016,SEX,MLE,,,,,,,0.1,0.1449,,,,2019-02-07T13:49:13Z,2016,2016-01-01,2016-12-31
20673796,SDGWSHBOD,COUNTRY,GEO,YEAR,2016,SEX,MLE,,,,,,,0.2,0.18981,,,,2019-02-07T13:49:13Z,2016,2016-01-01,2016-12-31
20673797,SDGWSHBOD,COUNTRY,GHA,YEAR,2016,SEX,MLE,,,,,,,18.2,18.23325,,,,2019-02-07T13:49:13Z,2016,2016-01-01,2016-12-31
20673798,SDGWSHBOD,COUNTRY,GIN,YEAR,2016,SEX,MLE,,,,,,,48.3,48.27968,,,,2019-02-07T13:49:13Z,2016,2016-01-01,2016-12-31
20673799,SDGWSHBOD,COUNTRY,GMB,YEAR,2016,SEX,MLE,,,,,,,30.9,30.9008,,,,2019-02-07T13:49:13Z,2016,2016-01-01,2016-12-31
20673800,SDGWSHBOD,COUNTRY,GNB,YEAR,2016,SEX,MLE,,,,,,,37.7,37.66702,,,,2019-02-07T13:49:13Z,2016,2016-01-01,2016-12-31
20673801,SDGWSHBOD,COUNTRY,GNQ,YEAR,2016,SEX,MLE,,,,,,,21.0,20.95419,,,,2019-02-07T13:49:13Z,2016,2016-01-01,2016-12-31
