Location,URL_Slug,Code,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,Afghanistan,AFG,49.35,48.59,52.23,46.6,52.5,57.1,55.47,59.62,62.72,61.41,57.97,54.03,53.43,53
Albania,Albania,ALB,24.51,23.83,24.18,21.99,21.56,23.31,21.46,19.94,19.82,19.43,17.69,18.87,18.66,18.46
Algeria,Algeria,DZA,29.82,31.74,35.61,34.12,32.14,31.69,32.7,30.51,32.01,33.6,32.9,32.67,32.76,32.92
Angola,Angola,AGO,29.88,28.37,28.15,28.52,28.96,29.05,29.28,29.51,28.48,29.28,29.26,28.05,28.32,28.02
Argentina,Argentina,ARG,16.01,15.85,14.47,13.61,14.05,14.53,13.69,15.07,14.11,14.94,14.45,13.95,13.97,13.85
Armenia,Armenia,ARM,33.08,32.71,31.62,32.42,36.2,40.79,41.39,39.2,38.75,38.12,34.87,35.56,34.64,34.24
Australia,Australia,AUS,7.6,7.5,7.37,6.91,6.79,6.71,7,6.96,6.88,6.85,6.82,6.67,6.74,6.75
Austria,Austria,AUT,21.56,20.37,17.43,16.55,15.87,16.25,14.63,14.62,12.91,13.45,12.39,12.02,12.38,12.22
Azerbaijan,Azerbaijan,AZE,23.02,26.52,25.16,23.78,25.84,27.73,29.59,29.05,28.29,26.82,25.06,25.8,25.88,26.27
Bahrain,Bahrain,BHR,55.27,52.83,62.38,65.85,63.27,64.83,67.43,63.57,58.96,65.71,61.12,61.12,59.88,58.66
Bangladesh,Bangladesh,BGD,52.99,51.7,53.8,55.15,56.49,60.64,69,66.48,73.37,69.08,67.91,62.82,63.39,63.55
Belarus,Belarus,BLR,25.51,23.36,22.06,21.15,22.46,19.86,19.16,20.06,20.49,18.73,16.91,16.59,16.67,16.57
Belgium,Belgium,BEL,21.01,19.68,17.75,15.9,16.98,16.24,15.2,14.31,12.91,13.27,12.44,12.89,12.82,12.73
Benin,Benin,BEN,45.4,41.21,47.29,41.22,41.21,41.56,43.13,38.98,39.03,48.56,46.11,44.61,45.72,46.24
Bhutan,Bhutan,BTN,36.63,35.3,37,40.16,39.66,37.99,44.21,42.64,48.56,44.5,43.65,40.25,40.47,40.37
Bolivia,Bolivia,BOL,51.52,44.34,30.72,28,31.87,28.84,28.68,26.97,28.54,29.54,28.39,27.94,27.72,27.49
Botswana,Botswana,BWA,24.28,24.03,24.31,24.74,26.6,27,27.06,26.1,25.67,26.6,25.65,25.39,25.48,25.33
Brazil,Brazil,BRA,14.81,14.66,14.57,14.58,14.06,14.67,13.77,13.14,12.99,11.69,11.42,11.67,11.63,11.67
Brunei Darussalam,Brunei+Darussalam,BRN,7.8,6.72,6.46,6.72,6.4,7.36,7.62,7.64,7.77,7.95,7.68,7.38,7.72,7.72
Bulgaria,Bulgaria,BGR,28.77,27.38,26.72,24.48,23.42,26.33,23.27,21.8,22.24,20.86,19.95,20.22,20.21,19.93
Burkina Faso,Burkina+Faso,BFA,51.92,49.42,54.91,54.95,53.99,51.25,54.19,47.35,48.43,60.28,56.27,53.55,53.67,53.68
