"","match_string","COU","YEA","Country.x","ROADpGDP","PKperCap","A.CO","A.NOX","A.NMVOC","A.PM10","A.PM2.5","Year.y","YEAR","GDPperCAP","keyword_sum","any_policy_implemented","Total.Rail.Transport","Passenger.Kilometers","TotPop","air.quality.air.pollution","allocation.quota","authorization.permit","basic.legislation","certification","clean.development.mechanism","data.collection.reporting","dispute.settlement","early.warning.system.emergency.intervention.system","ecosystem.preservation","education","emissions","emissions.trading","energy.conservation.energy.production","enforcement.compliance","environmental.fees.charges","environmental.planning","environmental.security","environmental.standards","framework.law","governance","hazardous.substances","hazardous.waste","inspection","institution","international.agreement.implementation","international.trade","legal.proceedings.administrative.proceedings","liability.compensation","monitoring","offences.penalties","oil","oil.pollution","ozone.layer","policy.planning","polluter.pays.principle","pollution.control","poverty","public.health","registration","renewable.energy","standards","sustainable.development","tax.levy","transboundary.effects","transport.storage","use.restrictions"
"1","AUS2000","AUS",2000,"Australia",0.888929943390127,13.4956531266948,250.546970069325,22.2030010098063,22.4142542165415,NA,NA,2000,2000,37933.18575,0,FALSE,11552.161964256,256806.08421725,19028.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","AUS2001","AUS",2001,"Australia",0.799582663844791,13.2000447102456,235.258066784399,21.4357607274147,21.7392445479574,NA,NA,2001,2001,38952.657214,0,FALSE,12149.624986664,254426.90177657,19274.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","AUS2002","AUS",2002,"Australia",0.787423022609155,13.3632476843582,230.119359652331,21.5305445798761,21.7911099815094,NA,NA,2002,2002,39709.935164,6,TRUE,12005.65718487,260519.1862561,19495.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"4","AUS2003","AUS",2003,"Australia",0.886652128945441,13.5463437864766,208.784676114855,20.8932391249768,20.2081096061715,NA,NA,2003,2003,40906.74905,11,TRUE,12021.773106727,267143.38190997,19720.7,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
"5","AUS2004","AUS",2004,"Australia",1.01595411138588,14.0039043892373,188.256712322754,19.8907384867665,19.0813927725305,NA,NA,2004,2004,41750.715307,11,TRUE,12087.046535813,279135.62501935,19932.7,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
"6","AUS2005","AUS",2005,"Australia",1.18868156553885,13.8725971100992,157.492860396662,17.8598137056564,17.395733335636,NA,NA,2005,2005,42370.336822,11,TRUE,12062.893352373,279904.61737105,20176.8,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
"7","AUS2006","AUS",2006,"Australia",1.16403785520552,13.4702717924546,155.748305032358,18.1959951348046,17.825920939064,NA,NA,2006,2006,43377.562466,11,TRUE,12590.874021192,275480.52842749,20451,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
"8","AUS2007","AUS",2007,"Australia",1.20725588245838,13.3936033165857,134.196747321481,17.2554759564819,16.6050161963954,NA,NA,2007,2007,44116.784843,11,TRUE,13212.731578192,278956.61243652,20827.6,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
"9","AUS2008","AUS",2008,"Australia",1.37604280416126,13.2125214849674,120.501450219888,16.5981187050112,16.1413550201334,NA,NA,2008,2008,44048.720611,11,TRUE,14276.384048686,280755.51153837,21249.2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
"10","AUS2009","AUS",2009,"Australia",1.2995715083604,12.9057050929406,115.823272671684,16.3377357906105,15.8981627522413,NA,NA,2009,2009,44087.515086,11,TRUE,15004.14159834,279946.68316454,21691.7,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
"11","AUS2010","AUS",2010,"Australia",1.24125844873345,12.789244932429,106.388297916629,15.9572360274782,15.971232162586,NA,NA,2010,2010,44478.987373,11,TRUE,14992.79186061,281770.08650229,22031.8,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
"12","AUS2011","AUS",2011,"Australia",1.31220666084584,12.7479318800604,94.3799363943806,15.9803960294644,15.4276004806411,NA,NA,2011,2011,45583.725649,11,TRUE,15275.793628,284788.79820055,22340,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
"13","AUS2012","AUS",2012,"Australia",1.31610757138931,12.6507225339165,87.1011910225551,15.2633179237251,15.1067260773156,NA,NA,2012,2012,45959.462467,11,TRUE,15568.963881337,287595.20072479,22733.5,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
"14","AUS2013","AUS",2013,"Australia",1.13968787871292,12.5560686938555,80.2096599306474,14.9238590970516,14.9289562338673,NA,NA,2013,2013,46333.137914,19,TRUE,15543.667841316,290398.01235836,23128.1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
"15","AUS2014","AUS",2014,"Australia",0.961181768762108,12.5519180271711,77.3614835515979,15.198474017042,15.0913190788812,NA,NA,2014,2014,46638.640722,19,TRUE,15571.083308422,294665.06203046,23475.7,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
"16","AUS2015","AUS",2015,"Australia",0.951264995776882,12.5987886934754,73.5147657869407,14.9120684988784,15.2474181981863,NA,NA,2015,2015,47232.629115,19,TRUE,16016.860652115,300052.75152381,23816,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
"17","AUS2016","AUS",2016,"Australia",1.06457933191129,12.6986576794224,68.2683179502347,14.5407494761603,15.1002574319904,NA,NA,2016,2016,47568.259139,19,TRUE,16503.758569102,307191.95805714,24190.9,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
"18","AUS2017","AUS",2017,"Australia",1.14335161318559,12.7012354669631,63.8830767377313,14.0368234620744,15.1763976426845,NA,NA,2017,2017,48116.439218,19,TRUE,17039.193726877,312474.52483468,24601.9,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
"19","BEL2000","BEL",2000,"Belgium",0.0529920178993763,11.6476441322798,26.873503040201,13.749819120603,4.07618909547739,0.967491783919598,0.859401256281407,2000,2000,40193.01395,0,FALSE,7755,119400,10251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","BEL2001","BEL",2001,"Belgium",0.0501064928538164,11.8081073199183,24.2406333415658,13.4014703383551,3.61675235860706,0.933341788095826,0.823840750802667,2001,2001,40492.779236,0,FALSE,8036,121470,10287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","BEL2002","BEL",2002,"Belgium",0.0597691529063463,11.9965160166457,20.9528332768635,12.9292537754114,3.11740508228461,0.855998523717328,0.746300008067118,2002,2002,41000.60331,0,FALSE,8260,123960,10333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
