Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Argentina,ARG,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,1.07,0.85,0.63,0.63,0.63,0.63,0.62,0.70,0.78,0.87,0.96,1.21,1.46,1.49,1.52,1.31,1.1,1.1
Armenia,ARM,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.55,0.49,0.42,0.55,0.68,0.82,0.96,1.02,1.08,1.08,1.08,1.17,1.25,1.275,1.3,1.035,0.77,0.77
Australia,AUS,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.57,0.535,0.5,0.675,0.85,0.89,0.93,0.84,0.74,1.01,1.27,1.33,1.39,1.31,1.23,1.08,0.93,0.93
Austria,AUT,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.82,0.83,0.84,1.08,1.32,1.32,1.32,1.35,1.37,1.50,1.63,1.72,1.81,1.705,1.6,1.4,1.2,1.2
Azerbaijan,AZE,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.39,0.38,0.37,0.39,0.41,0.44,0.46,0.60,0.74,0.75,0.75,0.76,0.76,0.99,1.21,0.89,0.56,0.56
Burundi,BDI,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,1.01,0.80,0.58,0.81,1.04,1.12,1.2,1.295,1.39,1.41,1.43,1.45,1.47,1.50,1.53,1.37,1.21,1.21
Belgium,BEL,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.96,1.00,1.04,1.27,1.5,1.565,1.63,1.565,1.5,1.685,1.87,1.98,2.09,1.995,1.9,1.665,1.43,1.43
Benin,BEN,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.48,0.51,0.54,0.66,0.77,0.79,0.81,0.92,1.03,1.04,1.04,1.14,1.24,1.14,1.03,0.88,0.72,0.72
Burkina Faso,BFA,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.68,0.76,0.83,1.01,1.18,1.17,1.15,1.27,1.38,1.41,1.44,1.44,1.43,1.415,1.4,1.19,0.98,0.98
Bangladesh,BGD,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,0.46,0.49,0.52,0.56,0.59,0.69,0.79,0.98,1.17,1.13,1.09,1.12,1.15,1.225,1.3,1.21,1.12,1.12
