"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INFRAINVEST","RAIL","EUR","A","1995",571626711.18304,
"AUS","INFRAINVEST","RAIL","EUR","A","1996",802011114.08396,
"AUS","INFRAINVEST","RAIL","EUR","A","1997",747886518.71042,
"AUS","INFRAINVEST","RAIL","EUR","A","1998",648492072.22955,
"AUS","INFRAINVEST","RAIL","EUR","A","1999",564957297.04591,
"AUS","INFRAINVEST","RAIL","EUR","A","2000",411180193.77677,
"AUS","INFRAINVEST","RAIL","EUR","A","2001",366910463.5529,
"AUS","INFRAINVEST","RAIL","EUR","A","2002",662954843.00173,
"AUS","INFRAINVEST","RAIL","EUR","A","2003",748523928.5745,
"AUS","INFRAINVEST","RAIL","EUR","A","2004",1105364375.8845,
"AUS","INFRAINVEST","RAIL","EUR","A","2005",1496283128.6361,
"AUS","INFRAINVEST","RAIL","EUR","A","2006",1251611424.677,
"AUS","INFRAINVEST","RAIL","EUR","A","2007",1962260345.0615,
"AUS","INFRAINVEST","RAIL","EUR","A","2008",1734889810.4184,
"AUS","INFRAINVEST","RAIL","EUR","A","2009",2284971414.3283,
"AUS","INFRAINVEST","RAIL","EUR","A","2010",3611610590.3921,
"AUS","INFRAINVEST","RAIL","EUR","A","2011",5164883847.2106,
"AUS","INFRAINVEST","RAIL","EUR","A","2012",6602253137.6371,
"AUS","INFRAINVEST","RAIL","EUR","A","2013",4975556295.7156,
"AUS","INFRAINVEST","RAIL","EUR","A","2014",4319955217.5738,
"AUS","INFRAINVEST","RAIL","EUR","A","2015",2796716821.0765,
"AUS","INFRAINVEST","RAIL","EUR","A","2016",2563618264.2006,
"AUS","INFRAINVEST","RAIL","EUR","A","2017",3824975423.912,
"AUS","INFRAINVEST","RAIL","EUR","A","2018",5024722428.1123,
"AUS","INFRAINVEST","ROAD","EUR","A","1995",2425107142.0876,
"AUS","INFRAINVEST","ROAD","EUR","A","1996",2924042251.7672,
"AUS","INFRAINVEST","ROAD","EUR","A","1997",3333285963.236,
"AUS","INFRAINVEST","ROAD","EUR","A","1998",3537193229.9963,
"AUS","INFRAINVEST","ROAD","EUR","A","1999",3929716944.5709,
"AUS","INFRAINVEST","ROAD","EUR","A","2000",3700546880.5538,
"AUS","INFRAINVEST","ROAD","EUR","A","2001",3261995407.4396,
"AUS","INFRAINVEST","ROAD","EUR","A","2002",3429883601.007,"B"
"AUS","INFRAINVEST","ROAD","EUR","A","2003",4084762235.5342,
"AUS","INFRAINVEST","ROAD","EUR","A","2004",5192125950.6944,
"AUS","INFRAINVEST","ROAD","EUR","A","2005",6753177989.5345,
"AUS","INFRAINVEST","ROAD","EUR","A","2006",6972545187.0836,
"AUS","INFRAINVEST","ROAD","EUR","A","2007",8026364946.6564,
"AUS","INFRAINVEST","ROAD","EUR","A","2008",9304510165.2557,
"AUS","INFRAINVEST","ROAD","EUR","A","2009",9195852832.0698,
"AUS","INFRAINVEST","ROAD","EUR","A","2010",11200596050.662,
"AUS","INFRAINVEST","ROAD","EUR","A","2011",13801954227.285,
"AUS","INFRAINVEST","ROAD","EUR","A","2012",15900879666.178,
"AUS","INFRAINVEST","ROAD","EUR","A","2013",12734390340.039,
"AUS","INFRAINVEST","ROAD","EUR","A","2014",10438136801.073,
"AUS","INFRAINVEST","ROAD","EUR","A","2015",10458732001.512,
"AUS","INFRAINVEST","ROAD","EUR","A","2016",11862279791.98,
"AUS","INFRAINVEST","ROAD","EUR","A","2017",13675008939.849,
"AUS","INFRAINVEST","ROAD","EUR","A","2018",14715189500.848,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","1995",1.0665554006083,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","1996",1.1433158165543,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","1997",1.1203240588433,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","1998",1.2655136692016,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","1999",1.1954024969239,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2000",0.98770193525378,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2001",0.88952002095175,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2002",0.93962232936596,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2003",1.0491292320345,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2004",1.2322430637194,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2005",1.4520544804232,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2006",1.3729892551951,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2007",1.5024019866082,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2008",1.6326154336967,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2009",1.6224870444946,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2010",1.6414998411185,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2011",1.8032527022395,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2012",1.8625726428253,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2013",1.5849845162953,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2014",1.3589790266572,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2015",1.2056379747007,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2016",1.2946510438282,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2017",1.4631533654595,
"AUS","INFRAINVEST","INLAND","PC_GDP","A","2018",1.6921991745824,
"AUT","INFRAINVEST","RAIL","EUR","A","1995",521000000,
"AUT","INFRAINVEST","RAIL","EUR","A","1996",590000000,
"AUT","INFRAINVEST","RAIL","EUR","A","1997",710000000,
"AUT","INFRAINVEST","RAIL","EUR","A","1998",979000000,
"AUT","INFRAINVEST","RAIL","EUR","A","1999",1120000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2000",1199000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2001",1071000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2002",1191000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2003",1145000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2004",1335000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2005",1330000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2006",1489000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2007",1505000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2008",1683000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2009",2062000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2010",1936000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2011",2143000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2012",1688000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2013",1648000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2014",1567000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2015",1549000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2016",1523000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2017",1552000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2018",1682000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2019",1737000000,
"AUT","INFRAINVEST","RAIL","EUR","A","2020",2002000000,
"AUT","INFRAINVEST","ROAD","EUR","A","1995",457000000,
"AUT","INFRAINVEST","ROAD","EUR","A","1996",426000000,
"AUT","INFRAINVEST","ROAD","EUR","A","1997",365000000,
"AUT","INFRAINVEST","ROAD","EUR","A","1998",430000000,
"AUT","INFRAINVEST","ROAD","EUR","A","1999",391000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2000",475000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2001",640000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2002",532000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2003",650000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2004",720000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2005",687000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2006",802000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2007",870000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2008",875000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2009",665000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2010",390000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2011",303000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2012",327000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2013",363000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2014",453000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2015",455000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2016",444000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2017",515000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2018",463000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2019",562000000,
"AUT","INFRAINVEST","ROAD","EUR","A","2020",548000000,
"AUT","INFRAINVEST","INLAND","PC_GDP","A","1995",0.55546511710207,
"AUT","INFRAINVEST","INLAND","PC_GDP","A","1996",0.55658765313282,"B"
"AUT","INFRAINVEST","INLAND","PC_GDP","A","1997",0.56961561172796,
"AUT","INFRAINVEST","INLAND","PC_GDP","A","1998",0.71760851893496,
"AUT","INFRAINVEST","INLAND","PC_GDP","A","1999",0.74122918855566,
"AUT","INFRAINVEST","INLAND","PC_GDP","A","2000",0.78368409048265,
"AUT","INFRAINVEST","INLAND","PC_GDP","A","2001",0.77587546958378,
"AUT","INFRAINVEST","INLAND","PC_GDP","A","2002",0.7603582716439,"B"
"AUT","INFRAINVEST","INLAND","PC_GDP","A","2003",0.77545972728832,
"AUT","INFRAINVEST","INLAND","PC_GDP","A","2004",0.85290482382667,
"AUT","INFRAINVEST","INLAND","PC_GDP","A","2005",0.79661507862461,
"AUT","INFRAINVEST","INLAND","PC_GDP","A","2006",0.85802472477774,
"AUT","INFRAINVEST","INLAND","PC_GDP","A","2007",0.8377410402645,
"AUT","INFRAINVEST","INLAND","PC_GDP","A","2008",0.87179444060668,
"AUT","INFRAINVEST","INLAND","PC_GDP","A","2009",0.94846614069613,
"AUT","INFRAINVEST","INLAND","PC_GDP","A","2010",0.78980281763254,
"AUT","INFRAINVEST","INLAND","PC_GDP","A","2011",0.78934981371925,
"AUT","INFRAINVEST","INLAND","PC_GDP","A","2012",0.6332906787897,
"AUT","INFRAINVEST","INLAND","PC_GDP","A","2013",0.624247090706,
"AUT","INFRAINVEST","INLAND","PC_GDP","A","2014",0.60934232242331,
"AUT","INFRAINVEST","INLAND","PC_GDP","A","2015",0.58268350035233,
"AUT","INFRAINVEST","INLAND","PC_GDP","A","2016",0.55060297177398,
"AUT","INFRAINVEST","INLAND","PC_GDP","A","2017",0.56042601257136,
"AUT","INFRAINVEST","INLAND","PC_GDP","A","2018",0.55730838729664,
"AUT","INFRAINVEST","INLAND","PC_GDP","A","2019",0.57946982799846,
"AUT","INFRAINVEST","INLAND","PC_GDP","A","2020",0.67323005112088,
"BEL","INFRAINVEST","RAIL","EUR","A","1995",668000000,
"BEL","INFRAINVEST","RAIL","EUR","A","1996",537000000,
"BEL","INFRAINVEST","RAIL","EUR","A","1997",635000000,
"BEL","INFRAINVEST","RAIL","EUR","A","1998",637000000,
"BEL","INFRAINVEST","RAIL","EUR","A","1999",764000000,
"BEL","INFRAINVEST","RAIL","EUR","A","2000",1012000000,
"BEL","INFRAINVEST","RAIL","EUR","A","2001",856000000,
"BEL","INFRAINVEST","RAIL","EUR","A","2002",1049000000,
"BEL","INFRAINVEST","RAIL","EUR","A","2003",959000000,
"BEL","INFRAINVEST","RAIL","EUR","A","2004",976000000,
"BEL","INFRAINVEST","RAIL","EUR","A","2005",948527538.2,
"BEL","INFRAINVEST","RAIL","EUR","A","2006",928448430.70712,
"BEL","INFRAINVEST","RAIL","EUR","A","2007",820740802.27657,
"BEL","INFRAINVEST","RAIL","EUR","A","2008",982865787.45468,
"BEL","INFRAINVEST","RAIL","EUR","A","2009",1404314280.9247,
"BEL","INFRAINVEST","RAIL","EUR","A","2010",1376467072.8178,
"BEL","INFRAINVEST","RAIL","EUR","A","2011",1295066302.6247,
"BEL","INFRAINVEST","RAIL","EUR","A","2012",1333431629.7625,
"BEL","INFRAINVEST","RAIL","EUR","A","2013",1200786096.1563,
"BEL","INFRAINVEST","RAIL","EUR","A","2014",1107978558.46,
"BEL","INFRAINVEST","RAIL","EUR","A","2015",1005993899.6279,
"BEL","INFRAINVEST","RAIL","EUR","A","2016",959083668.59,
"BEL","INFRAINVEST","RAIL","EUR","A","2017",880000000,
"BEL","INFRAINVEST","RAIL","EUR","A","2018",926000000,
"BEL","INFRAINVEST","RAIL","EUR","A","2019",899000000,
"BEL","INFRAINVEST","ROAD","EUR","A","1995",160000000,
"BEL","INFRAINVEST","ROAD","EUR","A","1996",159000000,
"BEL","INFRAINVEST","ROAD","EUR","A","1997",153000000,
"BEL","INFRAINVEST","ROAD","EUR","A","1998",152000000,
"BEL","INFRAINVEST","ROAD","EUR","A","1999",161000000,
"BEL","INFRAINVEST","ROAD","EUR","A","2000",149000000,
"BEL","INFRAINVEST","ROAD","EUR","A","2001",147000000,
"BEL","INFRAINVEST","ROAD","EUR","A","2002",172000000,
"BEL","INFRAINVEST","ROAD","EUR","A","2003",185000000,
"BEL","INFRAINVEST","ROAD","EUR","A","2004",156000000,
"BEL","INFRAINVEST","ROAD","EUR","A","2005",156000000,
"BEL","INFRAINVEST","ROAD","EUR","A","2006",169000000,
"BEL","INFRAINVEST","ROAD","EUR","A","2007",166000000,
"BEL","INFRAINVEST","ROAD","EUR","A","2008",156000000,
"BEL","INFRAINVEST","ROAD","EUR","A","2009",175000000,
"BEL","INFRAINVEST","ROAD","EUR","A","2010",348000000,
"BEL","INFRAINVEST","ROAD","EUR","A","2011",248000000,
"BEL","INFRAINVEST","ROAD","EUR","A","2012",553000000,
"BEL","INFRAINVEST","ROAD","EUR","A","2013",587000000,
"BEL","INFRAINVEST","ROAD","EUR","A","2014",417000000,
"BEL","INFRAINVEST","ROAD","EUR","A","2015",778000000,
"BEL","INFRAINVEST","ROAD","EUR","A","2016",810000000,
"BEL","INFRAINVEST","ROAD","EUR","A","2017",655906000,
"BEL","INFRAINVEST","ROAD","EUR","A","2018",681000000,
"BEL","INFRAINVEST","ROAD","EUR","A","2019",735000000,
"BEL","INFRAINVEST","INLAND","PC_GDP","A","1995",0.4651072193287,
"BEL","INFRAINVEST","INLAND","PC_GDP","A","1996",0.3831308557538,
"BEL","INFRAINVEST","INLAND","PC_GDP","A","1997",0.43239335747418,
"BEL","INFRAINVEST","INLAND","PC_GDP","A","1998",0.39462858056656,
"BEL","INFRAINVEST","INLAND","PC_GDP","A","1999",0.4391112783916,
"BEL","INFRAINVEST","INLAND","PC_GDP","A","2000",0.51213762265169,
"BEL","INFRAINVEST","INLAND","PC_GDP","A","2001",0.43732401586018,
"BEL","INFRAINVEST","INLAND","PC_GDP","A","2002",0.50282537357839,
"BEL","INFRAINVEST","INLAND","PC_GDP","A","2003",0.46123722529358,
"BEL","INFRAINVEST","INLAND","PC_GDP","A","2004",0.43292274737829,
"BEL","INFRAINVEST","INLAND","PC_GDP","A","2005",0.4065724732097,"B"
"BEL","INFRAINVEST","INLAND","PC_GDP","A","2006",0.38734203308522,
"BEL","INFRAINVEST","INLAND","PC_GDP","A","2007",0.33896296224585,
"BEL","INFRAINVEST","INLAND","PC_GDP","A","2008",0.37722581834717,
"BEL","INFRAINVEST","INLAND","PC_GDP","A","2009",0.51008745301931,
"BEL","INFRAINVEST","INLAND","PC_GDP","A","2010",0.51728439597219,"B"
"BEL","INFRAINVEST","INLAND","PC_GDP","A","2011",0.45085411639632,
"BEL","INFRAINVEST","INLAND","PC_GDP","A","2012",0.527852194813,
