"","match_string","Passenger.Kilometers","COU","Country","YEA","CO","NMVOC","NOX","PM10","PM2-5","SOX","Legislation","Regulation","Policy","Constitution","air.quality.air.pollution","authorization.permit","basic.legislation","bioenergy","biofuel","data.collection.reporting","electric.vehicle","emissions","emissions.trading","energy.conservation.energy.production","enforcement.compliance","environmental.standards","hydropower.generation","monitoring","nuclear.energy","pollution.control","public.health","renewable.energy","standards","subsidy.incentive","GDPperCAP","TotPop","ROADpGDP","PKperCap","A.CO","A.NOX","A.NMVOC","A.PM10","A.PM2.5","A.SOX","gas.price.usd.per.liter","Total.Rail.Transport","RAILperCAP"
"1","AUS2000",256806.08421725,"AUS","Australia",2000,3381.295,302.495,299.644,NA,NA,12.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37933.18575,19028.8,0.888929943390127,13.4956531266948,250.546970069325,22.2030010098063,22.4142542165415,NA,NA,0.9008826683572,0.57,11552.161964256,0.607088306370134
"2","AUS2001",254426.90177657,"AUS","Australia",2001,3105.417,286.959,282.953,NA,NA,11.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38952.657214,19274.7,0.799582663844791,13.2000447102456,235.258066784399,21.4357607274147,21.7392445479574,NA,NA,0.888481839072637,0.535,12149.624986664,0.63034054935558
"3","AUS2002",260519.1862561,"AUS","Australia",2002,3075.142,291.2,287.718,NA,NA,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39709.935164,19495.2,0.787423022609155,13.3632476843582,230.119359652331,21.5305445798761,21.7911099815094,NA,NA,0.92791814481702,0.5,12005.65718487,0.61582631544534
"4","AUS2003",267143.38190997,"AUS","Australia",2003,2828.269,273.746,283.027,NA,NA,12.741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40906.74905,19720.7,0.886652128945441,13.5463437864766,208.784676114855,20.8932391249768,20.2081096061715,NA,NA,0.940548992468313,0.675,12021.773106727,0.609601743686938
"5","AUS2004",279135.62501935,"AUS","Australia",2004,2636.329,267.214,278.548,NA,NA,13.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41750.715307,19932.7,1.01595411138588,14.0039043892373,188.256712322754,19.8907384867665,19.0813927725305,NA,NA,0.93316832483114,0.85,12087.046535813,0.606392838692851
"6","AUS2005",279904.61737105,"AUS","Australia",2005,2184.835,241.324,247.762,NA,NA,13.358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42370.336822,20176.8,1.18868156553885,13.8725971100992,157.492860396662,17.8598137056564,17.395733335636,NA,NA,0.962905495920112,0.89,12062.893352373,0.597859588853188
"7","AUS2006",275480.52842749,"AUS","Australia",2006,2097.972,240.12,245.105,NA,NA,13.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43377.562466,20451,1.16403785520552,13.4702717924546,155.748305032358,18.1959951348046,17.825920939064,NA,NA,1.02767042961629,0.93,12590.874021192,0.615660555532346
"8","AUS2007",278956.61243652,"AUS","Australia",2007,1797.378,222.401,231.113,NA,NA,14.923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44116.784843,20827.6,1.20725588245838,13.3936033165857,134.196747321481,17.2554759564819,16.6050161963954,NA,NA,1.11418859042364,0.84,13212.731578192,0.634385698697498
"9","AUS2008",280755.51153837,"AUS","Australia",2008,1592.128,213.268,219.303,NA,NA,14.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44048.720611,21249.2,1.37604280416126,13.2125214849674,120.501450219888,16.5981187050112,16.1413550201334,NA,NA,1.11833309159129,0.74,14276.384048686,0.671855130954859
"10","AUS2009",279946.68316454,"AUS","Australia",2009,1494.781,205.177,210.85,NA,NA,14.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44087.515086,21691.7,1.2995715083604,12.9057050929406,115.823272671684,16.3377357906105,15.8981627522413,NA,NA,1.13616419206887,1.01,15004.14159834,0.691699663850228
