"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2000","2000","PKM","Passenger-kilometres","6","Millions",,,28917,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2001","2001","PKM","Passenger-kilometres","6","Millions",,,30423,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2002","2002","PKM","Passenger-kilometres","6","Millions",,,35385,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2003","2003","PKM","Passenger-kilometres","6","Millions",,,39495,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2004","2004","PKM","Passenger-kilometres","6","Millions",,,46841,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2005","2005","PKM","Passenger-kilometres","6","Millions",,,51820,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2006","2006","PKM","Passenger-kilometres","6","Millions",,,53343,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2007","2007","PKM","Passenger-kilometres","6","Millions",,,55446,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2008","2008","PKM","Passenger-kilometres","6","Millions",,,60671,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2009","2009","PKM","Passenger-kilometres","6","Millions",,,66862,"B","Break"
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2010","2010","PKM","Passenger-kilometres","6","Millions",,,62912,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2011","2011","PKM","Passenger-kilometres","6","Millions",,,63740,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2012","2012","PKM","Passenger-kilometres","6","Millions",,,62583,,
"UKR","Ukraine","T-PASS-RD-BUS","Road passenger transport by buses and coaches","2013","2013","PKM","Passenger-kilometres","6","Millions",,,60765,,
