"","match_string","COU","YEAR","Legislation","Regulation","Policy","Constitution","air.quality.air.pollution","authorization.permit","basic.legislation","bioenergy","biofuel","data.collection.reporting","electric.vehicle","emissions","emissions.trading","energy.conservation.energy.production","enforcement.compliance","environmental.standards","hydropower.generation","monitoring","nuclear.energy","pollution.control","public.health","renewable.energy","standards","subsidy.incentive"
"1","AUT2004","AUT",2004,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
"2","AUT2005","AUT",2005,0,2,0,0,2,0,0,0,0,0,0,2,0,0,1,2,0,0,0,2,0,0,2,0
"3","AUT2007","AUT",2007,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"4","CAN2000","CAN",2000,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"5","CAN2002","CAN",2002,0,2,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,1,0
"6","CAN2009","CAN",2009,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"7","CAN2010","CAN",2010,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0
"8","CAN2011","CAN",2011,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0
"9","CAN2013","CAN",2013,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0
"10","CHE2011","CHE",2011,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1
"11","CHL2011","CHL",2011,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
"12","CHL2017","CHL",2017,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
"13","COL2003","COL",2003,0,3,0,0,3,0,0,0,0,0,0,2,0,0,0,3,0,0,0,3,0,0,3,0
"14","COL2005","COL",2005,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0
"15","COL2006","COL",2006,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0
"16","COL2007","COL",2007,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,0
"17","COL2011","COL",2011,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"18","COL2014","COL",2014,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"19","COL2016","COL",2016,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"20","COL2017","COL",2017,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0
"21","CRI2002","CRI",2002,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
"22","CRI2003","CRI",2003,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
"23","CRI2011","CRI",2011,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
"24","CRI2016","CRI",2016,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,2,0
"25","CRI2017","CRI",2017,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
"26","CYP2004","CYP",2004,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
