"","match_string","COU","YEAR","Legislation","Regulation","Policy","Constitution","air.quality.air.pollution","authorization.permit","basic.legislation","bioenergy","biofuel","data.collection.reporting","electric.vehicle","emissions","emissions.trading","energy.conservation.energy.production","enforcement.compliance","environmental.standards","hydropower.generation","monitoring","nuclear.energy","pollution.control","public.health","renewable.energy","standards","subsidy.incentive"
"1","AUT2004","AUT",2004,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
"2","AUT2005","AUT",2005,0,2,0,0,2,0,0,0,0,0,0,2,0,0,1,2,0,0,0,2,0,0,2,0
"3","AUT2007","AUT",2007,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"4","AUT2008","AUT",2008,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"5","CAN2000","CAN",2000,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"6","CAN2002","CAN",2002,0,2,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,1,0
"7","CAN2009","CAN",2009,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"8","CAN2010","CAN",2010,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0
"9","CAN2011","CAN",2011,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0
"10","CAN2012","CAN",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0
"11","CAN2013","CAN",2013,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0
"12","CHE2011","CHE",2011,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1
"13","CHL2011","CHL",2011,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
"14","CHL2017","CHL",2017,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
"15","COL2003","COL",2003,0,3,0,0,3,0,0,0,0,0,0,2,0,0,0,3,0,0,0,3,0,0,3,0
"16","COL2005","COL",2005,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0
"17","COL2006","COL",2006,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0
"18","COL2007","COL",2007,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,0
"19","COL2011","COL",2011,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"20","COL2014","COL",2014,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"21","COL2016","COL",2016,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"22","COL2017","COL",2017,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0
"23","COL2019","COL",2019,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1
"24","CRI2002","CRI",2002,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
"25","CRI2003","CRI",2003,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
"26","CRI2011","CRI",2011,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
