,Country,Type,Name,Date,Keywords
0,Albania,Legislation,First National Communication of Albania to the United Nations Framework Convention on Climate Change.,2002,"Agricultural development, Climate change, Crops/grasses, Disasters, Irrigation, Protection of environment, Risk assessment/management, Soil conservation/soil improvement, Soil pollution/quality, Water shortage/drought, Precautionary principle, Public health, Emissions, Energy conservation/energy production, Air quality/air pollution, Capacity building, Sustainable development, Pollution control, Afforestation/reforestation, Biodiversity, Erosion, Forest fires, Forest management/forest conservation, Forest species, Forestry protection measures, Monitoring, Protection forest, Public forest, Timber, Timber extraction/logging, Sustainable use, Coastal zone management, Flood, Freshwater resources management, Freshwater quality/freshwater pollution, Potable water, Sewerage, Water quality standards, Water supply, Ecosystem preservation, Protection of habitats, Protection of species, Wild fauna, Wild flora"
1,Argentina,Legislation,Ley Nº 8.810 - Ley de energías renovables y uso racional de la energía.,1999,"Renewable energy, Pollution control, Air quality/air pollution, Climate change, Ozone layer, Ecofriendly products/ecofriendly processes, Emissions, Energy conservation/energy production, Subsidy/incentive, Basic legislation"
2,Argentina,Legislation,"Ley Nº 6.253 - Normas generales y metodología de aplicación para la defensa, conservación y mejoramiento del ambiente.",1991,"Pollution control, Air quality/air pollution, Emissions, Energy conservation/energy production, Effluent waste water/discharge, Soil conservation/soil improvement, Freshwater quality/freshwater pollution, Management/conservation, Ecosystem preservation, Cultural heritage"
3,Armenia,Legislation,Armenia Development Strategy for 2014‐2025.,2014,"Poverty, Capacity building, Sustainable development, Governance, Farming, Crops/grasses, Fertilizers/nutrients, Processing/handling, Traditional knowledge/indigenous knowledge, Rural employment, Subsidy/incentive, Social protection, Education, Public health, Cultural heritage, Disasters, Environmental audit, Ecological production/organic production, Air quality/air pollution, Energy conservation/energy production, Emissions, Public participation, Environmental security, Pollution control, Animal production, Animal health, Standards, Transport/storage"
4,Australia,Legislation,Clean Energy Regulations 2011.,2011,"Air quality/air pollution, Climate change, Emissions, Pollution control, Energy conservation/energy production, Renewable energy"
5,Australia,Legislation,Victorian Energy Efficiency Target Regulations 2008.,2008,"Air quality/air pollution, Climate change, Emissions, Pollution control, Energy conservation/energy production, Ozone layer"
6,Australia,Legislation,Victorian Energy Efficiency Target Act 2007.,2007,"Emissions, Air quality/air pollution, Pollution control, Energy conservation/energy production, Certification"
7,Belarus,Legislation,Decree No. 29 of the Ministry of Natural Resources and Environmental Protection validating the Instruction on some issues of registration of renewable energy sources.,2011,"Renewable energy, Air quality/air pollution, Emissions, Climate change, Ozone layer, Data collection/reporting, Access-to-information, Pollution control, Energy conservation/energy production, Registration"
8,Belgium,Legislation,"Arrêté du Gouvernement flamand portant modification de l’arrêté relatif à l’énergie du 19 novembre 2010, en ce qui concerne une adaptation du régime d’appel pour le soutien de la chaleur verte, de la chaleur résiduelle et du biométhane.",2018,"Air quality/air pollution, Emissions, Environmental standards, Pollution control, Subsidy/incentive, Renewable energy, Energy conservation/energy production"
9,Belgium,Legislation,"Arrêté du Gouvernement flamand modifiant l'arrêté relatif à l'Energie du 19 novembre 2010, en ce qui concerne l'introduction d'une prime pour véhicules zéro émission.",2016,"Air quality/air pollution, Emissions, Environmental standards, Pollution control, Energy conservation/energy production"
10,Belgium,Legislation,"Ordonnance portant le Code bruxellois de l'Air, du Climat et de la Maîtrise de l'Energie (1).",2013,"Pollution control, Climate change, Air quality/air pollution, Emissions, Environmental planning, EIA, Enforcement/compliance, Offences/penalties, Environmental standards, Energy conservation/energy production, Renewable energy, Environmental security, Governance"
