"","match_string","COU","Energy.Consumption","CO","NMVOC","NOX","PM10","PM2-5","SOX","TotPop","GDPperCAP","s","A.CO","A.NOX","A.NMVOC","A.PM10","A.PM2.5","A.SOX","Legislation","Regulation","Policy","Constitution","air.quality.air.pollution","authorization.permit","basic.legislation","bioenergy","biofuel","data.collection.reporting","electric.vehicle","emissions","emissions.trading","energy.conservation.energy.production","enforcement.compliance","environmental.standards","hydropower.generation","monitoring","nuclear.energy","pollution.control","public.health","renewable.energy","standards","subsidy.incentive"
"1","AUS1990","AUS",3.84505104643702,46.597,3.472,398.38,NA,NA,391.612,17065.1,29856.669225,0.225316643115893,206.806738089173,1768.0895405276,15.4094253845871,NA,NA,1738.05181270419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","AUS1991","AUS",3.81670773947056,46.504,3.538,394.529,NA,NA,401.587,17284,29600.514117,0.220823174003157,210.593839210622,1786.62860807517,16.0218691537756,NA,NA,1818.59083319878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","AUS1992","AUS",3.89613166209318,43.058,3.538,400.636,NA,NA,399.409,17478.6,30451.616949,0.222908680448845,193.164303486518,1797.30999794753,15.8719704987529,NA,NA,1791.80550167789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","AUS1993","AUS",3.99076083895827,45.628,3.594,418.656,NA,NA,407.699,17634.8,31383.274435,0.226300317494855,201.625877087147,1850.00182339346,15.8815508514773,NA,NA,1801.58386215817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","AUS1994","AUS",4.05959688856441,47.632,3.567,397.538,NA,NA,409.055,17805.5,32274.052119,0.227996792483469,208.915219732548,1743.61224853119,15.6449569362193,NA,NA,1794.1261170578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","AUS1995","AUS",4.18135236803066,53.53,4.022,402.356,NA,NA,426.546,18004.9,33146.825364,0.232234134487315,230.500137794876,1732.54461876696,17.3187288288996,NA,NA,1836.70673969463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","AUS1996","AUS",4.36543537706846,50.003,3.333,395.375,NA,NA,449.697,18224.8,34026.719799,0.239532690458521,208.752299756174,1650.60977373552,13.914593426141,NA,NA,1877.39301528812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","AUS1997","AUS",4.48199678913972,52.547,3.645,403.196,NA,NA,478.412,18423,35213.756717,0.243282678670125,215.991538268329,1657.31486599877,14.9825709743289,NA,NA,1966.48607543776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","AUS1998","AUS",4.64388735513828,60.951,4.707,454.813,NA,NA,482.724,18607.6,36585.555096,0.249569388590591,244.224663706605,1822.39096937527,18.8604861621136,NA,NA,1934.22760189508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","AUS1999","AUS",4.76188080403544,62.484,4.796,476.913,NA,NA,494.915,18812.3,37603.269404,0.253125923147911,246.849470109343,1884.09386944269,18.9470913937073,NA,NA,1955.21262241799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","AUS2000","AUS",4.7983197632983,67.648,6.166,512.151,NA,NA,525.441,19028.8,37933.18575,0.252160922564655,268.273130158202,2031.0482480436,24.4526389627997,NA,NA,2083.75268719631,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"12","AUS2001","AUS",4.82630701714845,66.477,5.795,539.542,NA,NA,560.13,19274.7,38952.657214,0.250395960359873,265.487509880184,2154.75520940738,23.1433446117554,NA,NA,2236.97698315489,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0
