"","match_string","COU","YEAR","Legislation","Regulation","Policy","Constitution","air.quality.air.pollution","authorization.permit","basic.legislation","bioenergy","biofuel","data.collection.reporting","electric.vehicle","emissions","emissions.trading","energy.conservation.energy.production","enforcement.compliance","environmental.standards","hydropower.generation","monitoring","nuclear.energy","pollution.control","public.health","renewable.energy","standards","subsidy.incentive"
"1","AUS2011","AUS",2011,1,1,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,2,0,0
"2","AUS2012","AUS",2012,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,2,0
"3","AUT1998","AUT",1998,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
"4","AUT2007","AUT",2007,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0
"5","AUT2009","AUT",2009,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"6","CHL2016","CHL",2016,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
"7","COL2019","COL",2019,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1
"8","CRI2015","CRI",2015,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0
"9","CYP2005","CYP",2005,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"10","CYP2017","CYP",2017,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"11","DEU2002","DEU",2002,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
"12","DEU2007","DEU",2007,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0
"13","DEU2008","DEU",2008,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"14","DEU2014","DEU",2014,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
"15","DEU2015","DEU",2015,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
"16","DEU2017","DEU",2017,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"17","DNK2008","DNK",2008,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
"18","DNK2010","DNK",2010,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"19","DNK2011","DNK",2011,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
"20","DNK2012","DNK",2012,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"21","DNK2013","DNK",2013,1,1,1,0,2,0,1,0,1,1,0,3,0,3,0,0,0,0,0,2,0,3,0,2
"22","DNK2014","DNK",2014,0,2,0,0,2,0,0,0,1,0,0,2,0,2,1,0,0,0,0,2,0,1,0,0
"23","ESP2017","ESP",2017,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1
"24","ESP2019","ESP",2019,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1
"25","EST2019","EST",2019,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
"26","FIN2013","FIN",2013,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0
"27","FRA2009","FRA",2009,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
"28","FRA2013","FRA",2013,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"29","FRA2019","FRA",2019,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"30","GBR2010","GBR",2010,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
"31","GBR2013","GBR",2013,1,1,0,0,2,0,0,0,0,0,0,1,0,2,0,1,0,0,1,2,0,2,1,1
"32","GBR2017","GBR",2017,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"33","GBR2018","GBR",2018,0,2,0,0,2,0,0,1,1,0,0,1,0,2,0,0,0,0,0,2,0,1,0,0
"34","IRL2002","IRL",2002,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"35","LUX1993","LUX",1993,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"36","LUX2012","LUX",2012,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
"37","LUX2015","LUX",2015,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"38","LUX2017","LUX",2017,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
"39","LVA2019","LVA",2019,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"40","NOR2013","NOR",2013,0,2,0,0,1,0,0,1,1,1,0,2,0,2,0,1,0,0,0,1,0,0,1,0
"41","TUR2005","TUR",2005,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
