"","match_string","COU","YEAR","Legislation","Regulation","Policy","Constitution","air.quality.air.pollution","authorization.permit","basic.legislation","bioenergy","biofuel","data.collection.reporting","electric.vehicle","emissions","emissions.trading","energy.conservation.energy.production","enforcement.compliance","environmental.standards","hydropower.generation","monitoring","nuclear.energy","pollution.control","public.health","renewable.energy","standards","subsidy.incentive"
"1","AUS2000","AUS",2000,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"2","AUS2001","AUS",2001,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"3","AUS2006","AUS",2006,1,2,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"4","AUS2009","AUS",2009,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"5","AUS2010","AUS",2010,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"6","AUS2011","AUS",2011,3,1,0,0,2,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0,4,0,0
"7","AUS2012","AUS",2012,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,2,0
"8","AUT1992","AUT",1992,3,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,2,0,1,0,0,0,0,0
"9","AUT1996","AUT",1996,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"10","AUT1998","AUT",1998,4,0,0,0,0,0,4,0,0,0,0,0,0,4,0,2,1,0,2,0,0,2,2,0
"11","AUT1999","AUT",1999,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"12","AUT2002","AUT",2002,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"13","AUT2004","AUT",2004,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"14","AUT2006","AUT",2006,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
"15","AUT2007","AUT",2007,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0
"16","AUT2008","AUT",2008,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
"17","AUT2009","AUT",2009,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"18","AUT2010","AUT",2010,4,1,0,0,0,0,2,1,1,2,0,0,0,5,1,2,0,0,0,0,0,3,2,0
"19","AUT2011","AUT",2011,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0
"20","AUT2012","AUT",2012,2,3,0,0,0,0,0,2,2,5,0,0,0,5,4,0,3,0,0,0,0,3,0,0
"21","AUT2013","AUT",2013,4,0,0,0,0,1,2,0,0,0,0,0,0,4,0,1,0,0,2,2,0,0,1,0
"22","AUT2014","AUT",2014,4,2,0,0,0,0,3,2,2,0,0,0,0,6,2,0,0,1,0,0,0,2,0,0
"23","AUT2015","AUT",2015,1,2,0,0,0,0,0,1,1,0,0,0,0,3,0,0,1,1,0,0,0,1,0,0
"24","AUT2016","AUT",2016,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,2,1,0,1,0
"25","AUT2017","AUT",2017,2,1,0,0,0,0,0,1,1,1,0,0,0,3,1,0,2,0,0,0,0,2,1,1
"26","BEL1999","BEL",1999,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0
"27","BEL2000","BEL",2000,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
"28","BEL2002","BEL",2002,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
"29","BEL2003","BEL",2003,1,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0
"30","BEL2004","BEL",2004,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"31","BEL2005","BEL",2005,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0
"32","BEL2007","BEL",2007,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"33","BEL2011","BEL",2011,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
"34","BEL2013","BEL",2013,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0
"35","BEL2014","BEL",2014,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"36","BEL2015","BEL",2015,0,3,0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,1,1,0,2,0,1
"37","BEL2016","BEL",2016,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"38","BEL2017","BEL",2017,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,2
"39","CAN1992","CAN",1992,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"40","CAN1994","CAN",1994,1,2,0,0,0,0,0,0,0,1,0,0,0,3,1,0,1,0,1,0,0,0,0,0
"41","CAN1995","CAN",1995,0,5,0,0,0,1,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0
"42","CAN1996","CAN",1996,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"43","CAN1997","CAN",1997,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"44","CAN1999","CAN",1999,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"45","CAN2000","CAN",2000,0,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0
"46","CAN2003","CAN",2003,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"47","CAN2005","CAN",2005,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"48","CAN2006","CAN",2006,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"49","CAN2007","CAN",2007,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"50","CAN2009","CAN",2009,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"51","CAN2010","CAN",2010,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"52","CAN2015","CAN",2015,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"53","CAN2016","CAN",2016,0,3,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0
"54","CAN2018","CAN",2018,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"55","CAN2019","CAN",2019,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
"56","CHE1998","CHE",1998,3,1,0,0,0,0,2,0,0,0,0,0,0,4,2,0,2,0,1,0,0,1,0,2
"57","CHE2000","CHE",2000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"58","CHE2005","CHE",2005,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"59","CHE2006","CHE",2006,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,2,0,0,0,0,0
"60","CHE2007","CHE",2007,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,1,0,0,0,1
"61","CHE2008","CHE",2008,0,4,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,3,0,0,0,0,0
"62","CHE2010","CHE",2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"63","CHE2011","CHE",2011,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"64","CHE2017","CHE",2017,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"65","CHL1997","CHL",1997,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"66","CHL1999","CHL",1999,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0
"67","CHL2000","CHL",2000,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2,2,0
"68","CHL2001","CHL",2001,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0
"69","CHL2005","CHL",2005,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"70","CHL2008","CHL",2008,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
"71","CHL2009","CHL",2009,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"72","CHL2010","CHL",2010,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"73","CHL2012","CHL",2012,0,2,1,0,0,0,0,1,0,0,0,0,0,3,0,1,2,0,0,0,0,2,1,0
"74","CHL2014","CHL",2014,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"75","CHL2016","CHL",2016,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0
"76","COL1994","COL",1994,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,1
"77","COL1995","COL",1995,0,5,0,0,0,1,0,0,0,0,0,0,0,5,0,1,3,0,0,0,0,3,1,0
"78","COL1996","COL",1996,0,7,0,0,0,1,0,0,0,0,0,0,0,7,0,1,4,0,0,0,0,3,1,1
"79","COL1997","COL",1997,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0
"80","COL1998","COL",1998,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,1,4,0,0,0,0,4,1,0
