,Country,Type,Name,Date,Keywords
0,Albania,Legislation,Guideline No. 6527 on permissible values of air polluting and noise emissions from vehicles.,2004,"Pollution control, Air quality/air pollution, Noise pollution, Monitoring, Emissions, Environmental standards"
1,Australia,Legislation,Environment Protection (Vehicle Emissions) Regulations 2003.,2003,"Emissions, Noise pollution, Air quality/air pollution, Pollution control"
2,Australia,Legislation,Environment Protection (Vehicle Emissions) Regulations 2013.,2013,"Emissions, Noise pollution, Air quality/air pollution, Climate change, Environmental standards, Pollution control"
3,Australia,Legislation,Protection of the Environment Operations (Clean Air) Regulation 2002.,2002,"Air quality/air pollution, Emissions, Environmental standards, Pollution control"
4,Austria,Legislation,Solvents Ordinance 2005.,2005,"Pollution control, Air quality/air pollution, Emissions, Hazardous substances, Enforcement/compliance, Environmental standards"
5,Austria,Legislation,Ordinance by the Governor of Styria amending the Styria Clean Air Ordinance 2011.,2014,"Pollution control, Air quality/air pollution, Hazardous substances, Emissions, Environmental standards"
6,Austria,Legislation,Ordinance on measures against the emission of gaseous and particulate pollutants from internal combustion engines to be installed in non-road mobile machinery.,2004,"Pollution control, Air quality/air pollution, Emissions, Environmental standards"
7,Austria,Legislation,Combustion Engines Ordinance.,2005,"Pollution control, Air quality/air pollution, Emissions, Environmental standards"
8,Bahrain,Legislation,Resolution No. 8 of 2002 on pollutant standards and on standards for substances emitted by vehicles and exhaust pipes.,2002,"Air quality/air pollution, Emissions, Environmental standards, Inspection, Offences/penalties, Pollution control"
9,Bangladesh,Legislation,"Bangladesh Environment Conservation Act, 1995. (Act No. 1 of 1995)",1995,"Framework law, Ecosystem preservation, Air quality/air pollution, Emissions, Hazardous substances, Hazardous waste, Marine pollution, Noise pollution, Oil pollution, Pollution control, Radiation, Soil pollution/quality, Solid waste, Waste disposal, Waste prevention, Use restrictions, Freshwater quality/freshwater pollution"
10,Belarus,Legislation,Ministerial Decree No. 193 validating the Regulation on state registration of the atmospheric air.,1995,"Air quality/air pollution, Emissions, Registration, Data collection/reporting, Access-to-information, Environmental standards, Pollution control"
11,Belgium,Legislation,"Ordonnance portant le Code bruxellois de l'Air, du Climat et de la Maîtrise de l'Energie (1).",2013,"Pollution control, Climate change, Air quality/air pollution, Emissions, Environmental planning, EIA, Enforcement/compliance, Offences/penalties, Environmental standards, Energy conservation/energy production, Renewable energy, Environmental security, Governance"
12,Bulgaria,Legislation,Clean Ambient Air Act.,1996,"Air quality/air pollution, Emissions, Hazardous substances, Monitoring, Pollution control, Special fund, Offences/penalties, Environmental standards, Basic legislation"
13,Cambodia,Legislation,Anukret No. 42/ANK/BK on The Control of Air Pollution and Noise Disturbance.,2000,"Air quality/air pollution, Emissions, Noise pollution, Monitoring, Pollution control, Environmental standards"
14,Canada,Legislation,Passenger Automobile and Light Truck Greenhouse Gas Emission Regulations (SOR/2010-201).,2010,"Air quality/air pollution, Emissions, Ozone layer, Data collection/reporting, Enforcement/compliance, Offences/penalties, Environmental standards, Pollution control"
15,Canada,Legislation,On-Road Vehicle and Engine Emission Regulations (SOR/2003-2).,2002,"Pollution control, Air quality/air pollution, Emissions, Enforcement/compliance, Environmental standards"
16,Canada,Legislation,Heavy-Duty Vehicle and Engine Greenhouse Gas Emission Regulations (SOR/2013-24).,2013,"Air quality/air pollution, Emissions, Ozone layer, Data collection/reporting, Enforcement/compliance, Environmental standards, Pollution control"
17,Canada,Legislation,"Marine Spark-Ignition Engine, Vessel and Off-Road Recreational Vehicle Emission Regulations(SOR/2011-10).",2011,"Air quality/air pollution, Emissions, International trade, Data collection/reporting, Enforcement/compliance, Offences/penalties, Environmental standards, Pollution control"
18,Canada,Legislation,Air Emissions Regulations (Y.O.I.C. 1998/207).,1998,"Emissions, Air quality/air pollution, Enforcement/compliance, Pollution control"
19,Canada,Legislation,"Regulation respecting environmental standards for heavy vehicles (c. Q-2, r. 33).",2005,"Air quality/air pollution, Pollution control, Emissions, Enforcement/compliance, Offences/penalties"
20,Canada,Legislation,Off-Road Small Spark-Ignition Engine Emission Regulations (SOR/2003-355).,2003,"Pollution control, Air quality/air pollution, Emissions, Authorization/permit, International trade, Enforcement/compliance, Environmental standards, Public health"
21,Canada,Legislation,Ozone Layer Protection Regulations (P.E.I. Reg. EC619/94).,1994,"Ozone layer, Air quality/air pollution, Emissions, Offences/penalties, Enforcement/compliance, Environmental standards, Pollution control"
22,Canada,Legislation,"Air Pollution Control Regulations, 2004 (N.L.R. 39/04).",2004,"Early warning system/emergency intervention system, Hazardous substances, Monitoring, Air quality/air pollution, Environmental standards, Emissions, Pollution control"
23,Canada,Legislation,Emissions Trading Regulation (Alta. Reg. 33/2006).,2006,"Air quality/air pollution, Emissions, International trade, Offences/penalties, Enforcement/compliance, Environmental standards, Pollution control"
24,Canada,Legislation,Multi-Sector Air Pollutants Regulations (SOR/2016-151).,2016,"Pollution control, Air quality/air pollution, Emissions, Polluter pays principle, Monitoring, Enforcement/compliance"
